Name_of_Business,Webpage,Business_Website,Description_Short,Description_Long,Description_Complete,Category,Language_Spoken,Business_Address,Business_City,Email,Phone,Facebook_Page,Instagram_Page,Source
Ajs Wood Grill Pizza,https://www.blackownedmaine.com/bom-listing/ajs-wood-grill-pizza/,http://www.ajswoodgrillpizza.com/,"Experience the best at Ajs Wood Grill Pizza, a Black-owned restaurant in Kittery, Maine. Place your order for delicious, healthy meals now.","Ajs Wood Grill Pizza is a restaurant located at 68 Wallingford Sq, Kittery, Maine with zip code 03904.","Ajs Wood Grill Pizza is a restaurant located at 68 Wallingford Sq, Kittery, Maine with zip code 03904. Our story - Pizza's popularity has been attributed to the fact that it is a complete family…",Restaurants,English,"68 Wallingford Sq Kittery, Maine","Kittery, Maine",ajswoodgrillpizza@gmail.com,2074399700,https://www.facebook.com/AJsWoodGrillPizza/,https://instagram.com/ajswoodgrillpizza,Black Owned Maine
AK Health And Social Services,https://www.blackownedmaine.com/bom-listing/ak-health-and-social-services/,https://akhss.org/,"Join a Black-founded nonprofit in Lewiston, Maine Aiding immigrants, refugees, & BIPOC communities with tailored programs for a better result.","AK Health and Social Services is a community-based organization that serves the immigrants, refugees, asylum seekers and BIPOC communities in Lewiston and Auburn, Maine. Abdikhadar Shire, a former refugee, and immigrant, founded the non-profit to respond to the unique challenges New Mainers face. We use needs assessments to identify community issues and then create specialized programs to help solve them.","AK Health and Social Services is a community-based organization that serves the immigrants, refugees, asylum seekers and BIPOC communities in Lewiston and Auburn, Maine. Abdikhadar Shire, a former refugee, and immigrant, founded the non-profit to…",Nonprofits,English,"11 Westminster Street Lewiston , Maine","Lewiston , Maine",info.akhss@akhss.org,2072410451,https://www.facebook.com/akhealthandsocialservices,https://instagram.com/akh_ss,Black Owned Maine
Akakpo and Co.,https://www.blackownedmaine.com/bom-listing/akakpo-and-co/,https://www.akakpo.com/,"Discover Black-owned apparel & artist in South Portland, Maine. Explore Black Culture/History through our designed jewelry. Contact us today.","Akakapo and Co is a Jewelry company Run by Ebenezer Akakpo, a Ghanaian-American musician/artist. Using the importance of symbols and the themes they carry, his jewelry is influenced by messages found in Black Culture and History. In his words, Every item I design carries pieces of my cultural history, skills and techniques of my education, and the passion I carry for promoting social justice. Using the mediums of wood, silver, and gold, They sell a variety of earrings and bracelets along with drinkware and tableware. Visit their website and social media to view and their designs.¬†","Akakapo and Co is a Jewelry company Run by Ebenezer Akakpo, a Ghanaian-American musician/artist. Using the importance of symbols and the themes they carry.","Apparel & Accessories, Art & Music",English,"8 Cormorant Place South Portland, Maine","Portland, Maine",info@akakpo.com,2079560356,https://www.facebook.com/akakpoandco/,https://www.instagram.com/akakpoandco/,Black Owned Maine
Al Fatah Variety Store,https://www.blackownedmaine.com/bom-listing/al-fatah-variety-store/,NA,"Explore Black-owned apparel and grocery in Lisbon. Your one-stop shop for clothing, groceries & essentials. Buy from us for a unique shopping.","Al- Fatah Variety Store is a Clothing store, grocery and Convenience Stores located at 260 Lisbon Street, Lewiston, Maine .","Al- Fatah Variety Store is a Clothing store, grocery and Convenience Stores located at 260 Lisbon Street, Lewiston, Maine .","Apparel & Accessories, Grocery & Convenience Stores",English,"260 Lisbon Street Lewiston , Maine","Lewiston , Maine",NA,2073333034,,,Black Owned Maine
Al-Qudus Store,https://www.blackownedmaine.com/bom-listing/al-qudus-store/,NA,"Explore a Black-owned grocery in Lewiston, Maine. Order canned foods, indulge in imported candies, and find premium hookah charcoal brands.","Al-Qudus Store is a grocery store located at 230 Lisbon St in Lewiston, Maine.","Al-Qudus Store is a grocery store located at 230 Lisbon St in Lewiston, Maine. They sell canned foods, and they have a good selection of delicious imported candies. they also specialize in many brands of…",Grocery & Convenience Stores,"Somali, English","230 Lisbon Street Lewiston , Maine","Lewiston , Maine",NA,2073764885,,,Black Owned Maine
Alabama's BBQ,https://www.blackownedmaine.com/bom-listing/alabamas-bbq/,https://alabamasbbq.com/,"Visit our Black-owned spot in Lewiston, Maine. Catering for corporate events, wedding, parties. Specializing in Pig Roasts, Ribs, Brisket etc","Alabama’s BBQ is a catering company located in Lewiston Maine, dedicated to serving clients across New England. Born and raised in the South, owner Vincent Oden brings authentic southern-style BBQ with special recipes, techniques, and spices you can only find from an Alabama native. They offer event catering services to corporate functions, weddings, parties of all sizes, special events, birthday parties, and more. Not only do they specialize in Pig Roasts, Ribs, Brisket, Burgers, Hot Dogs, Lobster Bakes, and Clambakes, they also provide DJ and Bar services. For more information or to access their services visit their website.","Alabama’s BBQ is a catering company located in Lewiston Maine, dedicated to serving clients across New England. Born and raised in the South, owner Vincent Oden brings authentic southern-style BBQ.",Catering,English,"415 Sabattus Street Lewiston, Maine","Lewiston, Maine",vincent@alabamasbbq.com,2074236666,https://www.facebook.com/alabamasbbq,,Black Owned Maine
Ali Sheikh,https://www.blackownedmaine.com/bom-listing/ali-sheikh/,NA,"Black farmer participant in Fresh Start Farms, offering locally grown produce at Kennedy Park Farmers Markets, Lewiston, Maine.",Participates in the Fresh Start Farms program through Cultivating Community and sells produce at the Kennedy Park Farmers Markets in Lewiston. For more information about the times and locations of this farm stand please visit the Fresh Start Farms website (https://www.cultivatingcommunity.org/programs/fresh-start-farms/).  The Fresh Start Farms program is one of several endeavors initiated by Cultivating Community. For more information on the larger organization visit their website at https://www.cultivatingcommunity.org/.,Participates in the Fresh Start Farms and Kennedy Park Farmers Markets,Farming,NA,"Lisbon, Maine","Lisbon, Maine",info@cultivatingcommunity.org,NA,,,Black Owned Maine
Aliyowsmoonlight Tax Services,https://www.blackownedmaine.com/bom-listing/aliyowsmoonlight-tax-services/,NA,"Visit us at our Black-owned business in Lewiston, Maine, providing financial and tax services, including expert tax preparation.","Aliyowsmoonlight Tax Services is a Tax Preparation Service located at 270 Lisbon Street in Lewiston, Maine 04240. They  can be contacted via phone at (207) 344-8709 . They offer the following services","Aliyowsmoonlight Tax Services is a Tax Preparation Service located at 270 Lisbon Street in Lewiston, Maine 04240. They  can be contacted via phone at (207) 344-8709 . They offer the following services 1. Financial services…",Finance,English,"270 Lisbon Street Lewiston , Maine","Lewiston , Maine",NA,2073448709,,,Black Owned Maine
Almondbuttersmooth,https://www.blackownedmaine.com/bom-listing/almondbuttersmooth/,NA,"A Black-owned multi-talented artist in Portland, Maine, He is a Rapper, poet, performer uniting words, rhythm, & creativity. Listen & stream.","Rapper, Poet, Performer, General Artist","Rapper, Poet, Performer, General Artist",Art & Music,English,"Portland, Maine","Portland, Maine",almondbuttersmooth@gmail.com,NA,,https://www.instagram.com/almondbuttersmooth/,Black Owned Maine
Alpha Legal Foundation,https://www.blackownedmaine.com/bom-listing/alpha-legal-foundation/,https://www.alphalegalfoundation.com/,"Trust Black expertise in Portland, Maine. Contact us for skilled legal representation dedicated to your needs, advice, and strong advocacy.",The Alpha Legal Foundation is a non-profit organization working to diversify Maine’s legal profession. Our work is built on three pillars.,The Alpha Legal Foundation is a non-profit organization working to diversify Maine's legal profession. Our work is built on three pillars. We reach out. We create community by convening current BIPOC lawyers and law school…,"Attorneys & Law Firms, Education, Nonprofits",English,Online Business,Online Business,krystal@alphalegalfoundation.com,2075366855,,https://www.instagram.com/alf_hq,Black Owned Maine
AMA Heating Cooling and Refrigeration,https://www.blackownedmaine.com/bom-listing/ama-heating-cooling-and-refrigeration/,https://porch.com/portland-me/hvac-contractors/ama-heating-and-cooling/pp,"Black home services provider in Portland, Maine. Certified technicians for plumbing, air systems, duct cleaning, insulation etc. Contact us.","AMA Heating Cooling Refrigeration offers services from a certified and licensed technician for commercial and residential areas. They provide a multitude of services which include, Plumbing, Air & Water Systems Balancing, Air Duct Cleaning, Attic Insulation Installation, Attic Ventilation Installation, Backflow Preventer Installation, Basement Insulation Installation, Bathtub Installation, and much more. With each service, they also include a free inspection of gas and oil lines. Though they are located in portland they can provide services to clients in the following areas;¬†","AMA Heating Cooling Refrigeration offers services from a certified and licensed technician for commercial and residential areas. They provide a multitude of services which include, Plumbing, Air & Water Systems Balancing, Air Duct Cleaning, Attic…",Home & Commercial,English,"288 Harvard St Portland, Maine","Portland, Maine",homeowner@porch.com,180060424542076510546,https://www.facebook.com/AMAHeatingandCooling/,,Black Owned Maine
Ambassator Music,https://www.blackownedmaine.com/bom-listing/ambassator-music/,NA,"Book a Black-owned DJ in Portland, Maine. His club is an affordable upscale environment with social impact, championing MLK legacy via music.","Dane Morgan is a Portland based DJ who has had quite an involvement in the community. His club is an affordable upscale environment. He also used his skills to play some pro-black artists and clips of Martin Luther King’s speech at a protest that took place in Lewiston, Maine. For more information or details he may be reached via his social medias.","Dane Morgan is a Portland based DJ who has had quite an involvement in the community. His club is an ""affordable upscale"" environment. He also used his skills to play some pro-black artists and clips…","Art & Music, Weddings & Events",English,,,NA,NA,https://www.facebook.com/%2FSmoove4Eva,,Black Owned Maine
American Diamond Cleaning,https://www.blackownedmaine.com/bom-listing/american-diamond-cleaning/,https://www.adcleanmaine.com/,"Book a Black cleaning services in Westbrook, Maine. Call For eco-friendly, top notch cleaning. Commercial, Educational, Event venues covered.","American Diamond Cleaning is a cleaning company located in Westbrook Maine. They work to provide cleaning services with the best cleaning equipment and products that are environmentally friendly, non-toxic, and biodegradable.",American Diamond Cleaning is a cleaning company based in Westbrook Maine. They work to provide cleaning services with the best cleaning equipment and products that are environmentally friendly.,Home & Commercial,English,"18 Cumberland Street Westbrook, Maine","Westbrook, Maine",admin@adclean.com,2078879204,https://www.facebook.com/adcleanmaine,https://www.instagram.com/adcleanmaine/,Black Owned Maine
Ami Salon,https://www.blackownedmaine.com/bom-listing/ami-salon/,https://www.beautynailhairsalons.com/US/South-Portland/492021397879338/Ami-Salon,"Visit our Black-owned Portland, Maine Barbershop & hair salon. Services include haircuts, coloring, waxing, & extensions. Book your session.","Ami Salon, located in Portland, Maine, offers a variety of beautician services for both men and women. Some of their services include haircuts, coloring, waxing, and extensions. For more information on pricing and services visit their Facebook or contact them via phone. They focus on providing each client they serve with an affordable and convenient experience.","Located on Ocean St in South Portland, Ami Salon offers a plethora of services such as cutting, coloring, waxing, and extensions.",Beauty and Barber Shops,English,"145 Ocean Street South Portland, Maine","Portland, Maine",NA,2077474770,https://www.facebook.com/amisalon.info,https://instagram.com/amisalonservices,Black Owned Maine
Amjambo Africa,https://www.blackownedmaine.com/bom-listing/amjambo-africa/,https://www.amjamboafrica.com/,"Read Maine's free Black newspaper on the African Diaspora in Portland. Thriving New Mainers, community-building through information sharing.",Amjambo Africa is Maine’s free newspaper about the African Diaspora and immigration; it is for and about New Mainers from Africa. The newspaper is here to help New Mainers thrive and to help Maine welcome and benefit from our new neighbors.Their goal is to build community through spreading information throughout Maine. Publications include on-the-ground news updates from contributors currently living in Africa as well as background articles about African nations to help those from Maine better understand why newcomers have arrived here.,Amjambo Africa is a free newspaper with the mission of helping New Mainers thrive in this unknown territory,Media & Podcasts,"English, Portuguese, French, Arabic","24 Preble Street Inside Immigrant Welcome Center Portland, Maine","Portland, Maine",amjamboafrica@gmail.com,2075532525,https://www.facebook.com/amjamboafrica,https://instagram.com/amjamboafrica,Black Owned Maine
"Absolute Happiness Psychotherapy and Consultation, PLLC",https://www.blackownedmaine.com/bom-listing/andrea-tolbert-lcsw-mba-mhrt-csp/,https://www.absolutehappinesspsychotherapy.com/,"Book with Andrea Tolbert, Black therapist in Portland, Maine. Offering diverse therapeutic methods for absolute happiness and growth.",Absolute Happiness Psychotherapy and Consultation (Andrea Tolbert),"Andrea Tolbert (LCSW, MBA, MHRT/CSP) is a Licensed Clinical Social Worker at Absolute Happiness Psychotherapy and Consultation in Portland Maine.",Mental Health,English,Online Business,Online Business,absolutehappinesspsychotherapy@gmail.com,2075604775 x207591,,,Black Owned Maine
Angel of Love Design,https://www.blackownedmaine.com/bom-listing/angel-of-love-design/,NA,"Contact a Black-owned business for event design in South Portland, Maine. Create memorable experiences with our expert touch.",Deborah Bafongo is an immigrant who came to Maine in 2014. Her business is dedicated to wedding and event planning. Bafongo opened her business just 5 years post-arrival to the U.S. and has lived in South Portland as an immigrant since. Today she works as a designer for events. Most of her work can be found on her social media where she displays her past work. To contact Deborah you can reach her via social media where you can also view her availability.,Deborah Bafongo is an immigrant who came to Maine in 2014. Her business is dedicated to wedding and event planning. Bafongo opened her business just 5 years post-arrival to the U.S. and has lived in…,Weddings & Events,English,,,NA,NA,https://www.facebook.com/AngelsOfLoveed,https://instagram.com/angels_of_love_event_design,Black Owned Maine
Angelikah Fahray,https://www.blackownedmaine.com/bom-listing/angelikah-fahray/,https://soundcloud.com/angelikah,"Embrace the multi-talented Black-owned singer and musician from Portland, Maine, with a powerful blend of R&B, Folk, and Pop. Book her today.","Angelikah Fahray is a talented singer and musician. Growing up, Angelikah was surrounded by the arts and music was an important part of her life.","Angelikah Fahray is a talented singer and musician. Growing up, Angelikah was surrounded by the arts and music was an important part of her life.",Art & Music,English,"Portland, Maine","Portland, Maine",contact@angelikah.com,NA,https://www.facebook.com/angelikahfahray-105516337458859/,https://www.instagram.com/angelikahfahray/,Black Owned Maine
Angels of Love Event Design,https://www.blackownedmaine.com/bom-listing/angels-of-love-event-design/,https://angelsofloveeventdesign.com,"Contact a Black-owned business for event design in South Portland, Maine. Create memorable experiences with our expert touch.",Event design,Event design,Weddings & Events,English,"south portland, Maine","south portland, Maine",deborahbafongo@gmail.com,NA,https://www.facebook.com/angelsOfloveed/,https://www.instagram.com/angels_of_love_event_design/,Black Owned Maine
